model,n_estimators,max_depth,learning_rate,precision_score,recall_score,f1_score,roc_auc_score
GradietnBoostingDecisionTree,100,3,0.0001,0.2857142857142857,0.8571428571428571,0.42857142857142855,0.9160401002506267
GradietnBoostingDecisionTree,100,3,0.001,0.38095238095238093,0.7619047619047619,0.5079365079365079,0.9310776942355891
GradietnBoostingDecisionTree,100,3,0.01,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9348370927318296
GradietnBoostingDecisionTree,100,3,0.1,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.9473684210526316
GradietnBoostingDecisionTree,100,5,0.0001,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.912280701754386
GradietnBoostingDecisionTree,100,5,0.001,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9110275689223057
GradietnBoostingDecisionTree,100,5,0.01,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9273182957393484
GradietnBoostingDecisionTree,100,5,0.1,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.924812030075188
GradietnBoostingDecisionTree,500,3,0.0001,0.38095238095238093,0.7619047619047619,0.5079365079365079,0.9310776942355891
GradietnBoostingDecisionTree,500,3,0.001,0.38095238095238093,0.7619047619047619,0.5079365079365079,0.9273182957393484
GradietnBoostingDecisionTree,500,3,0.01,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9423558897243108
GradietnBoostingDecisionTree,500,3,0.1,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.9147869674185464
GradietnBoostingDecisionTree,500,5,0.0001,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9110275689223057
GradietnBoostingDecisionTree,500,5,0.001,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.931077694235589
GradietnBoostingDecisionTree,500,5,0.01,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.93734335839599
GradietnBoostingDecisionTree,500,5,0.1,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.8847117794486216
GradietnBoostingDecisionTree,1000,3,0.0001,0.38095238095238093,0.7619047619047619,0.5079365079365079,0.9310776942355891
GradietnBoostingDecisionTree,1000,3,0.001,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9348370927318296
GradietnBoostingDecisionTree,1000,3,0.01,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.9473684210526316
GradietnBoostingDecisionTree,1000,3,0.1,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.9423558897243108
GradietnBoostingDecisionTree,1000,5,0.0001,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9110275689223057
GradietnBoostingDecisionTree,1000,5,0.001,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9298245614035088
GradietnBoostingDecisionTree,1000,5,0.01,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.9323308270676692
GradietnBoostingDecisionTree,1000,5,0.1,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.862155388471178
GradietnBoostingDecisionTree,1200,3,0.0001,0.38095238095238093,0.7619047619047619,0.5079365079365079,0.9310776942355891
GradietnBoostingDecisionTree,1200,3,0.001,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9348370927318296
GradietnBoostingDecisionTree,1200,3,0.01,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.9398496240601504
GradietnBoostingDecisionTree,1200,3,0.1,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.9448621553884712
GradietnBoostingDecisionTree,1200,5,0.0001,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.918546365914787
GradietnBoostingDecisionTree,1200,5,0.001,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9298245614035088
GradietnBoostingDecisionTree,1200,5,0.01,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.9398496240601504
GradietnBoostingDecisionTree,1200,5,0.1,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.8947368421052632
GradietnBoostingDecisionTree,1400,3,0.0001,0.38095238095238093,0.7619047619047619,0.5079365079365079,0.9260651629072681
GradietnBoostingDecisionTree,1400,3,0.001,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.93734335839599
GradietnBoostingDecisionTree,1400,3,0.01,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.9398496240601504
GradietnBoostingDecisionTree,1400,3,0.1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9448621553884712
GradietnBoostingDecisionTree,1400,5,0.0001,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9172932330827068
GradietnBoostingDecisionTree,1400,5,0.001,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.9273182957393484
GradietnBoostingDecisionTree,1400,5,0.01,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.9323308270676692
GradietnBoostingDecisionTree,1400,5,0.1,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.8947368421052632
GradietnBoostingDecisionTree,1600,3,0.0001,0.38095238095238093,0.7619047619047619,0.5079365079365079,0.9260651629072681
GradietnBoostingDecisionTree,1600,3,0.001,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.93734335839599
GradietnBoostingDecisionTree,1600,3,0.01,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9448621553884712
GradietnBoostingDecisionTree,1600,3,0.1,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.9473684210526316
GradietnBoostingDecisionTree,1600,5,0.0001,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9160401002506265
GradietnBoostingDecisionTree,1600,5,0.001,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.9273182957393484
GradietnBoostingDecisionTree,1600,5,0.01,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.93734335839599
GradietnBoostingDecisionTree,1600,5,0.1,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.8897243107769424
GradietnBoostingDecisionTree,2000,3,0.0001,0.38095238095238093,0.7619047619047619,0.5079365079365079,0.9260651629072681
GradietnBoostingDecisionTree,2000,3,0.001,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9398496240601504
GradietnBoostingDecisionTree,2000,3,0.01,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.9523809523809524
GradietnBoostingDecisionTree,2000,3,0.1,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.949874686716792
GradietnBoostingDecisionTree,2000,5,0.0001,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9160401002506265
GradietnBoostingDecisionTree,2000,5,0.001,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9348370927318296
GradietnBoostingDecisionTree,2000,5,0.01,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.9298245614035088
GradietnBoostingDecisionTree,2000,5,0.1,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.899749373433584
GradietnBoostingDecisionTree,2200,3,0.0001,0.38095238095238093,0.7619047619047619,0.5079365079365079,0.9260651629072681
GradietnBoostingDecisionTree,2200,3,0.001,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.93734335839599
GradietnBoostingDecisionTree,2200,3,0.01,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9523809523809524
GradietnBoostingDecisionTree,2200,3,0.1,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.949874686716792
GradietnBoostingDecisionTree,2200,5,0.0001,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.931077694235589
GradietnBoostingDecisionTree,2200,5,0.001,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9323308270676692
GradietnBoostingDecisionTree,2200,5,0.01,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.9197994987468672
GradietnBoostingDecisionTree,2200,5,0.1,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.8947368421052632
